Buble,ella
"My funny valentine Sweet comic valentine You make me smile with my heart Your looks are laughable, unphotographable Yet you're my favorite work of art  Is your figure less than Greek? Is your mouth a little weak? When you open it to speak Are you smart?  But don't change a hair for me Not if you care for me Stay little valentine Stay Each day is Valentine's Day  Is your figure less than Greek? Is your mouth a little weak? When you open it to speak Are you smart?  But don't change a hair for me Not if you care for me Stay little valentine Stay Each day is Valentine's Day Each day is Valentine's Day",I never cared much for moonlit skies I never wink back at fireflies But now that the stars are in your eyes I'm beginning to see the light I never went in for afterglow Or candlelight on the mistletoe But now when you turn the lamp down low  I'm beginning to see the light Used to ramble through the park Shadowboxing in the dark Then you came and caused a spark That's a four-alarm fire now I never made love by lantern-shine I never saw rainbows in my wine But now that your lips are burning mine I'm beginning to see the light
"When I was just a little girl I asked my mother, what will I be Will I be pretty Will I be rich Here's what she said to me  Que será, será Whatever will be, will be The future's not ours to see Que será, será What will be, will be  When I grew up and fell in love I asked my sweetheart, what lies ahead Will we have rainbows Day after day Here's what my sweetheart said  Que será, será Whatever will be, will be The future's not ours to see Que será, será What will be, will be  Now I have children of my own They ask their mother, what will I be Will I be handsome Will I be rich I tell them tenderly  Que será, será Whatever will be, will be The future's not ours to see Que será, será What will be, will be Que será, será","Open your window and take a deep sigh Think about letting the rest of the world go fly a kite Takin' it easy is easy as pie And holdin' your hand is such a natural high  You sent flowers, we spent hours We can be happy alone in a tent Think of the money we'd save on rent  You sent flowers, we spent hours We can be happy alone in a tent Just think of the money we'd save on rent  If you just open your window and take a deep sigh And holdin' your hand is such a natural high"
"I'm making this one special evening Taking a chance in my life Hoping you feel the same way as I do tonight Just try and look into my eyes  Don't be scared of what you might see there The first time I saw you I knew love at first sight must be true, so true, oh so true And now I just have to explain why I feel this way  I feel joy, I feel pain You're in my heart and it's tearing me apart 'Cause I love you, I love you, I love you!",I found my love in Avalon beside the bay I left my love in Avalon and sailed away I dream of her and Avalon from dusk till dawn And so I think I'll travel on to Avalon
"I'm making this one special evening Taking a chance in my life Hoping you feel the same way as I do tonight Just try and look into my eyes  Don't be scared of what you might see there The first time I saw you I knew love at first sight must be true, so true, oh so true And now I just have to explain why I feel this way  I feel joy, I feel pain You're in my heart and it's tearing me apart 'Cause I love you, I love you, I love you!","Look at me,  I'm as helpless as a kitten up a tree; And I feel like I'm clingin' to a cloud, I can' t understand I get misty, just holding your hand.  Walk my way, And a thousand violins begin to play, Or it might be the sound of your hello, That music I hear, I get misty, the moment you're near.  Can't you see that you're leading me on?  And it's just what I want you to do, Don't you notice how hopelessly I'm lost That's why I'm following you.  On my own, When I wander through this wonderland alone, Never knowing my right foot from my left My hat from my glove I'm too misty, and too much in love.  Too misty, And too much In love"
"Birds flying high You know how I feel Sun in the sky You know how I feel Reeds driftin' on by You know how I feel  It's a new dawn It's a new day It's a new life For me And I'm feeling good I'm feeling good  Fish in the sea You know how I feel River running free You know how I feel Blossom on the tree You know how I feel  It's a new dawn It's a new day It's a new life For me And I'm feeling good  Dragonfly out in the sun, you know what I mean, don't you know Butterflies all havin' fun, you know what I mean Sleep in peace when the day is done, that's what I mean And this old world is a new world And a bold world For me For me  Stars when you shine You know how I feel Scent of the pine You know how I feel Oh freedom is mine And I know how I feel  It's a new dawn It's a new day It's a new life  It's a new dawn It's a new day It's a new life It's a new dawn It's a new day It's a new life It's a new life For me  And I'm feeling good I'm feeling good I'm feeling so good I feel so good","The weather is frightening The thunder and lightning Seem to be having their way But as far as I'm concerned, it's a lovely day The turn in the weather Will keep us together So I can honestly say That as far as I'm concerned, it's a lovely day And everything's o.k.  Isn't this a lovely day To be caught in the rain? You were going on your way Now you've got to remain  Just as you were going, leaving me all at sea The clouds broke, they broke and oh! What a break for me  I can see the sun up high Tho' we're caught in the storm I can see where you and I Could be cozy and warm  Let the rain pitter patter But it really doesn't matter If the skies are gray Long as I can be with you it's a lovely day"
"Are the stars out tonight? I don't care if it's cloudy or bright 'Cause I only have eyes for you, dear Now the moon may be high But I can't see a thing in the sky Cause I only have eyes for you  I don't know if we're in a garden Or on a crowded avenue You are here, so am I Maybe millions of people go by But they all disappear from view And I only have eyes for you  How can I live a day without you? I need your love to see me through You're not here by my side Maybe millions of people go by But they all dissappear from view And I only have eyes I only have eyes Only have eyes for you  I only have eyes for you Are the stars out tonight? Could be cloudy or bright there Eyes so blue, kisses true I never knew","Well, you know Dasher, and Dancer, and Prancer, and Vixen, (Comet, and Cupid, and Donner and Blitzen) But do you recall The most famous reindeer of all?  (Is it Herman, is it Shermon? Is it Eddy, is it Freddy? no, no no! It is Heart, is it Shaptler, is it Mosteres Oh, you'll never, never guess it, don't snap your cap) Talkin' 'bout Rudolph, the red-nosed reindeer (Oh, him) Had a very shiny nose (So I heard They say if you ever saw it You would even say it glows.) Like a hot rasie.  All of the other reindeer Used to laugh and call him names (Rudolph is a red nose They never let poor Rudolph Join in any reindeer games.)  Then one foggy Christmas Eve Santa came to say, ""Hey Rudolph, I say Rudolph, with your nose so bright, Won't you guide my sleigh tonight?""  (Then how the reindeer's loved him And they shouted out with glee, Rudolph, Rudolph, Rudolph) Rudolph the red-nosed reindeer, You'll go down in history!  (Well, the stake glows bosset, His snarl snoot His tuba that glow like a light-ta-root With his pink kazoo, he guided the sleigh He's a hero) why, Rudolph saved the day.  (Rudolph has got his red nose In the reign deer hall of fame) Rudolph the red nosed favorite Of the little reign deer days. (Rudolph the North Pole big shot Rides around in Santa's sleigh) Wearin' a green Fedora Smoking a cigar all day.  (This story has a moral Anyone can plainly see) Just keep your red nose a gleemin' You'll go down in history  (If you keep you nose a red, red rose If you keep your beak all pink and sleek) And if you keep your snooze maroon because (You'll go down in history.)"
"Just because I wander 'round the places we would go Hoping that I'd run into you one last time Just because I never took your picture off my phone Doesn't mean that you're still on my mind  Just because I accidentally slipped and said your name Well, I heard your song, it makes me insecure Just because I know I'll never ever feel the same Doesn't mean I love you anymore  Am I lying to myself again When I say you're not the best I've ever had? Am I lying to myself again When I say that I'm not missing you so bad?  Just because I'm on my knees and swearing I would change And I'd do anything to hear you say ""I'm yours"" Just because I know I'll never ever feel the same Doesn't mean I love you anymore (love, love) Uh uh  Uh uh  Am I lying to myself again When I say you're not the best I've ever had? Am I lying to myself again When I say that I'm not missing you so bad?  Just because I'm on my knees and swearing I would change And do anything to hear you say ""I'm yours"" Just because I know I'll never ever feel the same Doesn't mean I love you anymore, more Doesn't mean I love you anymore (anymore, anymore) Doesn't mean I love you anymore","Jingle bells, jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh,  Jingle bells, jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh.  Dashing through the snow In a one-horse open sleigh Through the fields we go Laughing all the way. Bells on bob-tail ring Making spirits bright What fun it is to ride and sing A sleighing song tonight.  Jingle bells, jing-jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh, brruup Jingle bells, jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh.  Dashing through the snow In a one-horse open sleigh Through the fields we go Laughing all the way. Bells on bob-tail ring Making spirits bright What fun it is to ride and sing A sleighing song tonight.  Jingle bells, jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh,  Jingle bells, jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh.  Jingle bells, jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh,  Jingle bells, jingle bells Jingle all the way, Oh what fun it is to ride In a one-horse open sleigh."
"Hold me close and hold me fast The magic spell you cast This is La Vie En Rose  When you kiss me heaven sighs And though I close my eyes I see La Vie En Rose  When you press me to your heart (Quand il me prend dans ses bras) I'm in a world apart (Je vois la vie en rose) A world where roses bloom  And when you speak, angels sing from above Everyday words seem to turn into love songs  Give your heart and soul to me And life will always be La Vie En Rose  Quand il me prend dans ses bras Il me parle tout bas Je vois la vie en rose  (Every time you kiss me heaven sighs) Il me dit des mots d'amour (And I don't know why) Des mots de tous les jours (I close my eyes) Et ça me fait quelque chose (If only you would)  Give your heart and soul to me And life will always be La Vie En Rose  Il est entré dans mon cœur Une part de bonheur Dont je connais la cause  C'est toi pour moi, moi pour toi dans la vie Il (Elle) me l'a dit, l'a juré pour la vie  Give your heart and soul to me And life will always be La Vie En Rose","The moon was all aglow But heaven was in your eyes The night that you told me Those little white lies  The stars all seemed to know You didn't mean all those sighs The night that you told me Those little white lies  I try, but there's no forgetting When evenin' appears I sigh but there's no regretting In spite of my tears  Who wouldn't believe those lips Who wouldn't believe those eyes The night that you told me Those little white lies  I try, but there's no forgetting When evenin' appears I sigh but there's no regretting In spite of my tears  The Devil was in your heart But Heaven was in your eyes The night that you told me Those little white lies Those lies Teeny-weeny little white lies"
"My funny valentine Sweet, comic valentine You make me smile with my heart Your looks are laughable, unphotographable Yet your my favorite work of art Is your figure less than Greek? Is your mouth a little weak? When you open it to speak, Are you smart? But don't change a hair for me Not if you care for me Stay little valentine Stay Each day is valentine's day Is your figure less than Greek? Is your mouth a little weak? When you open it to speak, Are you smart? But don't change a hair for me Not if you care for me Stay little valentine Stay Each day is Valentine's Day","You are my destination I have to call 'Cause you have so much on the ball Ah, you hit the spot Like the first embrace with a modest tide Well, you hit the spot Like pipe and slippers by the fireside Matter-of-factly don't know exactly what it is that you've got But you hit the spot You hit the spot Like a balmy breeze on a night in May You hit the spot Like a cool mint julep on a sunny day You hit the spot In my estimation"
"I just met you It seems like yesterday You opened up your eyes And I recognized your face You know that you're the one that we've been waiting for We're gonna keep you safe First time I held you in my arms I knew I'd love you all the way  I tuck you in at night Another day has passed Every week goes by a little faster than the last It wasn't so long ago We walked together and you held my hand And now you're getting too big to want to But I hope you'll always understand  That I'm always gonna lift you up And I'm never gonna let you down No matter what you do I'm forever proud of you I'll love you forever now  Through your ears I hear it Through your eyes I see A world full of magic Full of possibilities You know as well as anybody how tough this life can be But you've got so much strength inside you A strength I pray you'll never need  And I'm always gonna lift you up And I'm never gonna let you down Time flies by I hope you realize that I I'll love you forever now  I'm always gonna be right here Always gonna cheer you up I'm always gonna have your back You're never gonna be alone  And I'm always gonna lift you up No, I'm never gonna let you down No matter what you do I'm forever proud of you I'll love you forever now  I'll love you forever now","What's your story, morning glory? What makes you look so blue? The way that you've been acting I don't know what to do For I love you, sure as one and one make two What's your story, morning glory? Got a feeling there's a lot you're concealing So, won't you let me know your point of view?  What is your story, morning glory? You've got me worried too The postman came this morning And left a note for you Did you read it? Then you know that I love you What's your story, morning glory? Give your answer to this patient romancer Oh, won't you tell me that you love me too?"
